,country,lat,lon
0,Germany,51.0834196,10.4234469
1,Spain,39.3260685,-4.8379791
2,Italy,42.6384261,12.674297
3,Romania,45.9852129,24.6859225
4,France,46.603354,1.8883335
5,Austria,47.2,13.2
7,Poland,52.215933,19.134422
8,Hungary,47.1817585,19.5060937
12,Czech Republic,49.8167003,15.4749544
13,Bulgaria,42.6073975,25.4856617
15,Sweden,59.6749712,14.5208584
18,Netherlands,52.5001698,5.7480821
20,Croatia,45.5643442,17.0118954
21,Denmark,55.670249,10.3333283
28,Greece,38.9953683,21.9877132
30,Finland,63.2467777,25.9209164
34,Latvia,56.8406494,24.7537645
36,Lithuania,55.3500003,23.7499997
45,Ireland,52.865196,-7.9794599
49,Belgium,50.6402809,4.6667145
52,Portugal,40.0332629,-7.8896263
57,Estonia,58.7523778,25.3319078
58,Slovakia,48.7411522,19.4528646
